course,y1_total,y2_total,y3_total,y4_total,y5_total,total_male,total_female,total_all
BSIT-BN,129.0,60.0,60.0,67.0,0.0,187.0,129.0,316.0
BSA-BN,0.0,0.0,45.0,29.0,0.0,11.0,63.0,74.0
BSIEBN,60.0,48.0,50.0,55.0,0.0,112.0,101.0,213.0
BSCOEBN,0.0,0.0,1.0,45.0,0.0,26.0,20.0,46.0
BSEDENBN,47.0,47.0,49.0,47.0,0.0,41.0,149.0,190.0
BSBAHRM-BN,106.0,88.0,104.0,114.0,0.0,95.0,317.0,412.0
BEED-BN,30.0,42.0,48.0,56.0,0.0,33.0,143.0,176.0
BSEDSS-BN,50.0,42.0,37.0,44.0,0.0,60.0,113.0,173.0
BSPSY-BN,104.0,53.0,32.0,0.0,0.0,39.0,150.0,189.0
DIT-BN,38.0,29.0,26.0,0.0,0.0,70.0,23.0,93.0
BSCPE-BN,86.0,55.0,58.0,6.0,0.0,127.0,78.0,205.0
DCPET-BN,33.0,18.0,23.0,0.0,0.0,52.0,22.0,74.0
"Overall Total",683.0,482.0,533.0,463.0,0.0,853.0,1308.0,2161.0
